dataset,config,label_pct,diversity_measure,seed,use_mmr,use_pseudo_label,unsup_drift,inference_relevance,global_acc,f1_score,drift_count,total_instances,elapsed_s,error,inference_mode,training_mode,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_pool_updates,lbd_gap_pre_mean,lbd_conf_pre_mean
AGR_a,config_0,1,disagreement,42,False,True,False,capymoa_sleade,0.7115,0.7108,-1,99000,63.0,,capymoa,capymoa,,,,,,,
AGR_a,config_0,5,disagreement,42,False,True,False,capymoa_sleade,0.7628,0.7588,-1,99000,82.2,,capymoa,capymoa,,,,,,,
AGR_g,config_0,5,disagreement,42,False,True,False,capymoa_sleade,0.7857,0.7809,-1,99000,77.0,,capymoa,capymoa,,,,,,,
AGR_g,config_0,1,disagreement,42,False,True,False,capymoa_sleade,0.7298,0.7198,-1,99000,79.1,,capymoa,capymoa,,,,,,,
CovtFD,config_0,1,disagreement,42,False,True,False,capymoa_sleade,0.6836,0.4356,-1,580012,3440.7,,capymoa,capymoa,,,,,,,
CovtFD,config_0,5,disagreement,42,False,True,False,capymoa_sleade,0.7721,0.5856,-1,580012,3708.9,,capymoa,capymoa,,,,,,,
Electricity,config_0,5,disagreement,42,False,True,False,capymoa_sleade,0.784,0.514,-1,44312,38.3,,capymoa,capymoa,,,,,,,
Electricity,config_0,1,disagreement,42,False,True,False,capymoa_sleade,0.7532,0.4868,-1,44312,33.6,,capymoa,capymoa,,,,,,,
ForestCoverType,config_0,5,disagreement,42,False,True,False,capymoa_sleade,0.8269,0.6211,-1,580012,2702.8,,capymoa,capymoa,,,,,,,
ForestCoverType,config_0,1,disagreement,42,False,True,False,capymoa_sleade,0.7342,0.4769,-1,580012,2713.2,,capymoa,capymoa,,,,,,,
LED_a,config_0,5,disagreement,42,False,True,False,capymoa_sleade,0.6825,0.6785,-1,99000,246.1,,capymoa,capymoa,,,,,,,
LED_a,config_0,1,disagreement,42,False,True,False,capymoa_sleade,0.5932,0.5874,-1,99000,263.1,,capymoa,capymoa,,,,,,,
