dataset,seed,label_pct,detector,delta,DA,MTD,FA,TP,FN,precision,recall,F1,best_delta,score
AGR_a,42,5,sup_5,0.3,0.25,6220.0,11,1,3,0.08333333333333333,0.25,0.125,0.3,0.4255381867997456
AGR_a,42,5,plain_dis_5,0.002,1.0,1911.0,10,4,0,0.2857142857142857,1.0,0.4444444444444445,0.002,0.9307353588727432
AGR_a,42,5,studd_mlhat_5,0.001,1.0,1799.0,6,4,0,0.4,1.0,0.5714285714285715,0.001,0.9488380057732766
AGR_a,42,5,studd_br_5,0.3,1.0,2551.0,26,4,0,0.13333333333333333,1.0,0.23529411764705882,0.3,0.8526884876950926
AGR_a,42,5,meta_acc_mlhat_5,0.0001,1.0,2087.0,75,4,0,0.05063291139240506,1.0,0.09638554216867469,0.0001,0.6848280248544449
AGR_a,42,5,meta_acc_br_5,0.01,0.0,,28,0,4,0.0,0.0,0.0,0.01,0.2
AGR_a,42,5,meta_dis_mlhat_5,0.0001,1.0,687.0,9,4,0,0.3076923076923077,1.0,0.47058823529411764,0.0001,0.9703703703703703
AGR_a,42,5,meta_dis_br_5,0.001,1.0,3127.0,24,4,0,0.14285714285714285,1.0,0.25,0.001,0.8431870443759479
AGR_a,42,1,sup_1,0.3,0.0,,1,0,4,0.0,0.0,0.0,0.3,0.3
AGR_a,42,1,plain_dis_1,0.001,0.75,1161.6666666666667,26,3,1,0.10344827586206896,0.75,0.18181818181818182,0.001,0.7684732619012672
AGR_a,42,1,studd_mlhat_1,0.0001,0.75,863.0,34,3,1,0.08108108108108109,0.75,0.14634146341463414,0.0001,0.7476111845002202
AGR_a,42,1,studd_br_1,0.001,0.75,3220.3333333333335,34,3,1,0.08108108108108109,0.75,0.14634146341463414,0.001,0.6784101472674788
AGR_a,42,1,meta_acc_mlhat_1,0.0001,0.75,1012.3333333333334,82,3,1,0.03529411764705882,0.75,0.06741573033707865,0.0001,0.5654496306081511
AGR_a,42,1,meta_acc_br_1,0.001,0.0,,12,0,4,0.0,0.0,0.0,0.001,0.25925925925925924
AGR_a,42,1,meta_dis_mlhat_1,0.0001,1.0,2367.0,50,4,0,0.07407407407407407,1.0,0.13793103448275862,0.0001,0.7692010372327412
AGR_a,42,1,meta_dis_br_1,0.0001,1.0,2311.0,26,4,0,0.13333333333333333,1.0,0.23529411764705882,0.0001,0.8597338421644894
AGR_g,42,1,sup_1,0.3,0.14285714285714285,7800.0,1,1,6,0.5,0.14285714285714285,0.22222222222222224,0.3,0.3956576543660943
AGR_g,42,1,plain_dis_1,0.001,0.7142857142857143,2251.0,19,5,2,0.20833333333333334,0.7142857142857143,0.3225806451612903,0.001,0.7265320910973085
AGR_g,42,1,studd_mlhat_1,0.0001,0.7142857142857143,1819.0,22,5,2,0.18518518518518517,0.7142857142857143,0.2941176470588235,0.0001,0.7220545609548168
AGR_g,42,1,studd_br_1,0.001,0.8571428571428571,1876.3333333333333,16,6,1,0.2727272727272727,0.8571428571428571,0.41379310344827586,0.001,0.822086631754151
AGR_g,42,1,meta_acc_mlhat_1,0.0001,0.7142857142857143,1486.2,54,5,2,0.0847457627118644,0.7142857142857143,0.15151515151515152,0.0001,0.5701607599561563
AGR_g,42,1,meta_acc_br_1,0.001,0.0,,28,0,7,0.0,0.0,0.0,0.001,0.16
AGR_g,42,1,meta_dis_mlhat_1,0.0001,0.7142857142857143,3806.2,16,5,2,0.23809523809523808,0.7142857142857143,0.35714285714285715,0.0001,0.703651199610279
AGR_g,42,1,meta_dis_br_1,0.0001,0.8571428571428571,792.3333333333334,6,6,1,0.5,0.8571428571428571,0.631578947368421,0.0001,0.89849023667438
AGR_g,42,5,sup_5,0.3,0.2857142857142857,4980.0,4,2,5,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.3,0.5207745706978444
AGR_g,42,5,plain_dis_5,0.002,0.7142857142857143,2526.2,0,5,2,1.0,0.7142857142857143,0.8333333333333333,0.002,0.81482888807697
