detector,tipo,delta,DA,MTD,FA,precision,F1,score
meta_acc_br_1,abrupto,0.001,0.5,975.0,21.0,0.058823529411764705,0.10526315789473684,0.5626940119998232
meta_acc_br_1,gradual,0.001,0.35714285714285715,1175.8,17.0,0.22727272727272727,0.2777777777777778,0.48197709105192205
meta_acc_br_5,abrupto,0.01,0.5,2271.0,28.0,0.0625,0.1111111111111111,0.5172327514715104
meta_acc_br_5,gradual,0.01,0.5,1656.0,44.5,0.078125,0.133261105092091,0.46670555596839314
meta_acc_mlhat_1,abrupto,0.0001,0.75,2639.0,57.0,0.06050420168067227,0.11063094209161624,0.5967569053544406
meta_acc_mlhat_1,gradual,0.0001,0.6428571428571428,2335.6,34.0,0.1534839924670433,0.23575757575757578,0.5798849603522506
meta_acc_mlhat_5,abrupto,0.0001,0.875,1987.0,71.5,0.04644321625958281,0.08819277108433735,0.6108974465581718
meta_acc_mlhat_5,gradual,0.0001,0.8571428571428571,2636.3333333333335,49.5,0.10882352941176471,0.1930005146680391,0.5722494003153029
meta_dis_br_1,abrupto,0.0001,1.0,1651.0,26.5,0.13118279569892471,0.2319327731092437,0.8696019480852181
meta_dis_br_1,gradual,0.0001,0.7142857142857142,992.6666666666667,5.0,0.5,0.5824561403508772,0.821791146780521
meta_dis_br_5,abrupto,0.001,0.75,2827.0,16.0,0.17142857142857143,0.2678571428571429,0.7559412031685764
meta_dis_br_5,gradual,0.001,0.5714285714285714,1322.2,8.5,0.4007352941176471,0.4583333333333333,0.7194762581215239
meta_dis_mlhat_1,abrupto,0.0001,1.0,3647.0,44.0,0.08465608465608465,0.15592203898050971,0.7368525868216336
meta_dis_mlhat_1,gradual,0.0001,0.7857142857142857,3059.9333333333334,16.5,0.2494824016563147,0.37857142857142856,0.7274835862664254
meta_dis_mlhat_5,abrupto,0.0001,0.875,1735.0,25.0,0.18793706293706294,0.2977941176470588,0.8018401033671871
meta_dis_mlhat_5,gradual,0.0001,0.7142857142857143,3415.761904761905,24.0,0.2072072072072072,0.3181818181818182,0.6005662264905962
plain_dis_1,abrupto,0.001,0.75,2447.0,28.0,0.09717868338557994,0.17199017199017197,0.7112985152929544
plain_dis_1,gradual,0.001,0.6428571428571428,2338.0,22.5,0.17083333333333334,0.26939843068875324,0.6350134809425191
plain_dis_5,abrupto,0.002,0.875,2544.333333333333,8.5,0.2928571428571428,0.4365079365079365,0.8542574729192495
plain_dis_5,gradual,0.002,0.7142857142857143,2539.0,0.0,1.0,0.8333333333333333,0.7987160502126482
studd_br_1,abrupto,0.001,0.625,2753.666666666667,35.0,0.06685633001422475,0.1207897793263647,0.6127238543534141
studd_br_1,gradual,0.001,0.7142857142857142,1602.6666666666665,27.0,0.18398268398268397,0.2885292047853624,0.6672241316677598
studd_br_5,abrupto,0.3,1.0,1735.0,19.0,0.19166666666666665,0.3176470588235294,0.9018306007722414
studd_br_5,gradual,0.3,0.7857142857142857,1891.4,3.5,0.6558441558441558,0.7063492063492063,0.8432881506942365
studd_mlhat_1,abrupto,0.0001,0.75,1279.0,30.0,0.09226467847157502,0.16407982261640797,0.7422412907877018
studd_mlhat_1,gradual,0.0001,0.6428571428571428,2010.0,25.5,0.1531986531986532,0.24705882352941175,0.6277683994560246
studd_mlhat_5,abrupto,0.001,0.875,1240.3333333333333,10.0,0.2882352941176471,0.4285714285714286,0.8865343875020228
studd_mlhat_5,gradual,0.001,0.7857142857142857,1632.7333333333333,1.0,0.875,0.8166666666666667,0.8658405239702817
sup_1,abrupto,0.3,0.25,6300.0,2.0,0.2,0.22222222222222224,0.4363594530633711
sup_1,gradual,0.3,0.14285714285714285,5300.0,0.5,0.75,0.2361111111111111,0.4407401107423206
sup_5,abrupto,0.3,0.25,6620.0,9.0,0.10416666666666666,0.14583333333333331,0.4160383241691036
sup_5,gradual,0.3,0.21428571428571427,2930.0,5.0,0.23809523809523808,0.22527472527472525,0.5261015710632079
