signal,referee,dataset,label_pct,threshold,n_total,n_admitted,n_correct
M,high_order,AGR_a,5,0.7,150000,78409,56218
M,high_order,AGR_a,5,0.7025,150000,78251,56120
M,high_order,AGR_a,5,0.705,150000,78090,56025
M,high_order,AGR_a,5,0.7075,150000,77900,55909
M,high_order,AGR_a,5,0.71,150000,77721,55788
M,high_order,AGR_a,5,0.7125,150000,77545,55686
M,high_order,AGR_a,5,0.715,150000,77388,55586
M,high_order,AGR_a,5,0.7175,150000,77221,55482
M,high_order,AGR_a,5,0.72,150000,77039,55364
M,high_order,AGR_a,5,0.7225,150000,76874,55255
M,high_order,AGR_a,5,0.725,150000,76699,55130
M,high_order,AGR_a,5,0.7275,150000,76505,55014
M,high_order,AGR_a,5,0.73,150000,76315,54914
M,high_order,AGR_a,5,0.7325,150000,76163,54839
M,high_order,AGR_a,5,0.735,150000,76008,54747
M,high_order,AGR_a,5,0.7375,150000,75838,54644
M,high_order,AGR_a,5,0.74,150000,75664,54528
M,high_order,AGR_a,5,0.7425,150000,75489,54433
M,high_order,AGR_a,5,0.745,150000,75290,54309
M,high_order,AGR_a,5,0.7475,150000,75114,54202
M,high_order,AGR_a,5,0.75,150000,74940,54088
M,high_order,AGR_a,5,0.7525,150000,74740,53958
M,high_order,AGR_a,5,0.755,150000,74551,53834
M,high_order,AGR_a,5,0.7575,150000,74405,53738
M,high_order,AGR_a,5,0.76,150000,74233,53628
M,high_order,AGR_a,5,0.7625,150000,74047,53501
M,high_order,AGR_a,5,0.765,150000,73855,53372
M,high_order,AGR_a,5,0.7675,150000,73680,53254
M,high_order,AGR_a,5,0.77,150000,73489,53144
M,high_order,AGR_a,5,0.7725,150000,73310,53043
M,high_order,AGR_a,5,0.775,150000,73133,52940
M,high_order,AGR_a,5,0.7775,150000,72962,52832
M,high_order,AGR_a,5,0.78,150000,72744,52693
M,high_order,AGR_a,5,0.7825,150000,72553,52574
M,high_order,AGR_a,5,0.785,150000,72361,52444
M,high_order,AGR_a,5,0.7875,150000,72174,52322
M,high_order,AGR_a,5,0.79,150000,71966,52195
M,high_order,AGR_a,5,0.7925,150000,71770,52073
M,high_order,AGR_a,5,0.795,150000,71568,51943
M,high_order,AGR_a,5,0.7975,150000,71376,51816
M,high_order,AGR_a,5,0.8,150000,71200,51703
M,high_order,AGR_a,5,0.8025,150000,71044,51597
M,high_order,AGR_a,5,0.805,150000,70859,51472
M,high_order,AGR_a,5,0.8075,150000,70678,51358
M,high_order,AGR_a,5,0.81,150000,70520,51263
M,high_order,AGR_a,5,0.8125,150000,70366,51162
M,high_order,AGR_a,5,0.815,150000,70167,51041
M,high_order,AGR_a,5,0.8175,150000,69973,50929
M,high_order,AGR_a,5,0.82,150000,69802,50811
M,high_order,AGR_a,5,0.8225,150000,69600,50683
M,high_order,AGR_a,5,0.825,150000,69420,50563
M,high_order,AGR_a,5,0.8275,150000,69249,50458
M,high_order,AGR_a,5,0.83,150000,69068,50351
M,high_order,AGR_a,5,0.8325,150000,68862,50217
M,high_order,AGR_a,5,0.835,150000,68676,50098
M,high_order,AGR_a,5,0.8375,150000,68521,49996
M,high_order,AGR_a,5,0.84,150000,68362,49895
M,high_order,AGR_a,5,0.8425,150000,68189,49792
M,high_order,AGR_a,5,0.845,150000,68024,49688
M,high_order,AGR_a,5,0.8475,150000,67873,49589
M,high_order,AGR_a,5,0.85,150000,67692,49473
M,high_order,AGR_a,5,0.8525,150000,67505,49347
M,high_order,AGR_a,5,0.855,150000,67337,49241
M,high_order,AGR_a,5,0.8575,150000,67182,49136
M,high_order,AGR_a,5,0.86,150000,66994,49016
M,high_order,AGR_a,5,0.8625,150000,66814,48907
M,high_order,AGR_a,5,0.865,150000,66622,48775
M,high_order,AGR_a,5,0.8675,150000,66406,48645
M,high_order,AGR_a,5,0.87,150000,66215,48512
M,high_order,AGR_a,5,0.8725,150000,66021,48386
M,high_order,AGR_a,5,0.875,150000,65807,48244
M,high_order,AGR_a,5,0.8775,150000,65625,48121
M,high_order,AGR_a,5,0.88,150000,65434,47981
M,high_order,AGR_a,5,0.8825,150000,65199,47820
M,high_order,AGR_a,5,0.885,150000,65018,47696
M,high_order,AGR_a,5,0.8875,150000,64818,47561
M,high_order,AGR_a,5,0.89,150000,64635,47437
M,high_order,AGR_a,5,0.8925,150000,64436,47304
M,high_order,AGR_a,5,0.895,150000,64229,47166
M,high_order,AGR_a,5,0.8975,150000,64006,47026
M,high_order,AGR_a,5,0.9,150000,63782,46881
M,high_order,AGR_a,5,0.9025,150000,63591,46758
M,high_order,AGR_a,5,0.905,150000,63370,46611
M,high_order,AGR_a,5,0.9075,150000,63172,46466
M,high_order,AGR_a,5,0.91,150000,62911,46285
M,high_order,AGR_a,5,0.9125,150000,62688,46137
M,high_order,AGR_a,5,0.915,150000,62487,46008
M,high_order,AGR_a,5,0.9175,150000,62251,45858
M,high_order,AGR_a,5,0.92,150000,61997,45672
M,high_order,AGR_a,5,0.9225,150000,61776,45502
M,high_order,AGR_a,5,0.925,150000,61533,45336
M,high_order,AGR_a,5,0.9275,150000,61269,45145
M,high_order,AGR_a,5,0.93,150000,60983,44936
M,high_order,AGR_a,5,0.9325,150000,60695,44718
M,high_order,AGR_a,5,0.935,150000,60444,44549
M,high_order,AGR_a,5,0.9375,150000,60177,44374
M,high_order,AGR_a,5,0.94,150000,59947,44214
M,high_order,AGR_a,5,0.9425,150000,59681,44014
M,high_order,AGR_a,5,0.945,150000,59418,43835
M,high_order,AGR_a,5,0.9475,150000,59149,43663
M,high_order,AGR_a,5,0.95,150000,58868,43473
M,high_order,AGR_a,5,0.9525,150000,58590,43284
M,high_order,AGR_a,5,0.955,150000,58349,43113
M,high_order,AGR_a,5,0.9575,150000,58078,42923
M,high_order,AGR_a,5,0.96,150000,57774,42713
M,high_order,AGR_a,5,0.9625,150000,57468,42497
M,high_order,AGR_a,5,0.965,150000,57092,42209
M,high_order,AGR_a,5,0.9675,150000,56698,41896
M,high_order,AGR_a,5,0.97,150000,56360,41654
M,high_order,AGR_a,5,0.9725,150000,55978,41348
M,high_order,AGR_a,5,0.975,150000,55550,41035
M,high_order,AGR_a,5,0.9775,150000,55132,40718
M,high_order,AGR_a,5,0.98,150000,54665,40367
M,high_order,AGR_a,5,0.9825,150000,54208,40020
M,high_order,AGR_a,5,0.985,150000,53757,39671
M,high_order,AGR_a,5,0.9875,150000,53295,39359
M,high_order,AGR_a,5,0.99,150000,52888,39080
M,high_order,AGR_a,5,0.9925,150000,52408,38745
M,high_order,AGR_a,5,0.995,150000,51835,38403
M,high_order,AGR_a,5,0.9975,150000,51036,37910
M,high_order,AGR_a,5,1.0,150000,46664,35261
c,high_order,AGR_a,5,0.7,150000,53262,46518
c,high_order,AGR_a,5,0.7025,150000,53262,46518
c,high_order,AGR_a,5,0.705,150000,53262,46518
c,high_order,AGR_a,5,0.7075,150000,53262,46518
c,high_order,AGR_a,5,0.71,150000,53262,46518
c,high_order,AGR_a,5,0.7125,150000,53262,46518
c,high_order,AGR_a,5,0.715,150000,53262,46518
c,high_order,AGR_a,5,0.7175,150000,53262,46518
c,high_order,AGR_a,5,0.72,150000,53262,46518
c,high_order,AGR_a,5,0.7225,150000,53262,46518
c,high_order,AGR_a,5,0.725,150000,43679,38966
c,high_order,AGR_a,5,0.7275,150000,43679,38966
c,high_order,AGR_a,5,0.73,150000,43679,38966
c,high_order,AGR_a,5,0.7325,150000,43679,38966
c,high_order,AGR_a,5,0.735,150000,43679,38966
c,high_order,AGR_a,5,0.7375,150000,43679,38966
c,high_order,AGR_a,5,0.74,150000,43679,38966
c,high_order,AGR_a,5,0.7425,150000,43679,38966
c,high_order,AGR_a,5,0.745,150000,43679,38966
c,high_order,AGR_a,5,0.7475,150000,43679,38966
c,high_order,AGR_a,5,0.75,150000,43679,38966
c,high_order,AGR_a,5,0.7525,150000,43679,38966
c,high_order,AGR_a,5,0.755,150000,43679,38966
c,high_order,AGR_a,5,0.7575,150000,43679,38966
c,high_order,AGR_a,5,0.76,150000,35697,32489
c,high_order,AGR_a,5,0.7625,150000,35697,32489
c,high_order,AGR_a,5,0.765,150000,35697,32489
