instance,rolling_acc,active_real_acc,active_pred_acc,active_real_div,active_pred_div,pool_real_acc,pool_real_div,K,lambda,drift_count,n_swapped,mean_margin,mean_A_inst,mean_C,mean_w,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
500,0.89,0.7647999999999999,0.7681989479308197,0.24879080459770117,0.2394310344827586,0.7541428571428571,0.2406666666666667,18,0.849985641605199,0,0,0.8202163703376514,0.7710290787486288,0.7715584025072075,0.7660731148069745,0,0,,,,,0
1000,0.93,0.7565666666666666,0.7249374259591956,0.27501839080459767,0.2540737777777776,0.7406285714285713,0.2779287784679089,18,0.8499999994109615,0,0,0.7922809502426272,0.8774125207523541,0.7921046855501316,0.7487888666980985,0,0,,,,,0
1500,0.93,0.7574,0.7005857002727083,0.27658850574712646,0.2624567809961684,0.7414428571428572,0.2793552795031056,18,0.849999999467556,0,0,0.7581390703112282,0.6849685700819699,0.6696002277377405,0.6673315370603002,386,200,0.24795765207716292,0.9518334664427435,0.0036616944852216554,0.8333524570348042,21136
2000,0.94,0.7576666666666669,0.7275440997858916,0.27605057471264366,0.2604630580769347,0.7418571428571429,0.27855320910973086,18,0.8499999995187127,0,0,0.6862211594326281,0.7673215332713229,0.6694718573216984,0.685186435477275,819,422,0.2646537149184833,0.9523033384979989,0.012999764188206423,0.840441068884684,43852
2500,0.95,0.7575666666666667,0.7418992230193244,0.2770551724137931,0.2590541502726864,0.7419571428571429,0.2793859213250517,18,0.8499999995649544,0,0,0.7483663650158381,0.7727731517077003,0.7343501450389686,0.7251526495381494,1228,634,0.2659158111896365,0.9517750589233022,0.01988465788903213,0.8442535657870963,68554
3000,0.93,0.7564333333333333,0.7574702338584578,0.2782413793103448,0.30393095252582225,0.7405428571428571,0.2807221532091097,18,0.8499999996067532,0,0,0.7382701870104372,0.8166666666666667,0.715062656329134,0.715223384618495,1636,827,0.26470961255188347,0.9502096128994373,0.019470991077810265,0.841559292178834,94612
3500,0.94,0.7579000000000001,0.8033553975632362,0.2783793103448276,0.31520279812227336,0.7417714285714285,0.2810931677018634,18,0.8499999996445361,0,0,0.7270269847466674,0.8223664538974967,0.7092672639316108,0.7436101103557042,2020,1065,0.26748958149088164,0.9539739869584998,0.032249784093858605,0.84575737976358,113653
4000,0.74,0.7591666666666665,0.8139161663015965,0.2780988505747127,0.2612200809144659,0.7432,0.2808894409937888,18,0.8499999996786889,0,0,0.9271807048941867,0.8493698643848913,0.8645689905952717,0.8331761962114399,2317,1263,0.26975554417727443,0.9561211327907853,0.04008744073694867,0.8499458178752495,133363
4500,0.74,0.7612000000000001,0.9240896860352523,0.27687816091954026,0.22311933454387878,0.7454142857142857,0.2796070393374741,18,0.8499999997095602,0,0,0.9086907578434265,0.9532081755919052,0.9076882737514299,0.9132152633279059,2432,1359,0.2691277711286397,0.9576230979628968,0.034180711281720594,0.8507234857455063,152697
5000,0.94,0.7607333333333336,0.6822937574833421,0.277016091954023,0.18175787170025903,0.7446142857142856,0.279944099378882,18,0.8499999997374654,0,0,0.8944469439968417,0.7376693824525624,0.798652818143695,0.7186496800283766,2635,1498,0.2726720054228103,0.9578910868629809,0.02445978852928399,0.8488964757433947,175649
