instance,rolling_acc,active_real_acc,active_pred_acc,active_real_div,active_pred_div,pool_real_acc,pool_real_div,K,lambda,drift_count,n_swapped,mean_margin,mean_A_inst,mean_C,mean_w,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
500,0.6,0.36680000000000007,0.3858414249406072,0.34523218390804594,0.2974620689655172,0.3580285714285714,0.3592521739130435,15,0.95,0,0,0.503790635773044,0.3691860519447218,0.37503746353260303,0.3769880838328608,0,0,,,,,0
1000,0.64,0.3906333333333334,0.4297958399886612,0.3630505747126437,0.32790287816091945,0.3869714285714286,0.36817225672877846,20,0.95,0,0,0.39290743730661243,0.35280661180855544,0.3063929093335748,0.36012938264483163,0,0,,,,,0
1500,0.67,0.3903333333333333,0.31406449710940054,0.3648597701149425,0.34952175006896524,0.3862285714285714,0.3696198757763975,20,0.95,0,0,0.6165779008576736,0.3429543595686032,0.40294078205068445,0.3446596352791232,0,0,,,,,0
2000,0.68,0.39189999999999997,0.422200371021726,0.3668344827586207,0.3652153475295631,0.3875571428571428,0.3715209109730849,20,0.95,0,0,0.48246070959045184,0.29928229076868007,0.3491600418644524,0.3749922338459827,0,0,,,,,0
2500,0.72,0.39409999999999995,0.5125268003972191,0.36842068965517244,0.376331937361449,0.38924285714285706,0.3732020703933748,20,0.95,0,0,0.5348888195742941,0.4931087439709073,0.4678260562635504,0.4821627909576051,0,0,,,,,0
3000,0.62,0.3943000000000001,0.4382071637344751,0.3706643678160919,0.40466019560722266,0.38965714285714287,0.3749879917184265,20,0.95,0,0,0.2589836420248312,0.4719976753708466,0.3098300273183459,0.3575357670782086,0,0,,,,,0
3500,0.63,0.39473333333333327,0.42865068239711523,0.37171034482758625,0.41468578955643864,0.3904000000000001,0.37585010351966874,20,0.95,0,0,0.25574098468807016,0.21383017303626445,0.1984075549168444,0.2854963671029352,0,0,,,,,0
4000,0.72,0.3981333333333333,0.5794246691810598,0.3739218390804598,0.42287303689657463,0.3935428571428572,0.3778070393374741,20,0.95,0,0,0.3033456383598886,0.5372643966603498,0.3618337916642538,0.4492075005456677,0,0,,,,,0
4500,0.74,0.4006666666666666,0.5376559429392689,0.37548505747126437,0.4324702838436928,0.39601428571428576,0.3796575569358178,20,0.95,0,0,0.3842592817811679,0.5519670025886857,0.40960314507183104,0.46147950118359693,0,0,,,,,0
5000,0.73,0.4015333333333333,0.6186305979991925,0.3762344827586207,0.4419935945233727,0.3968714285714285,0.3802389233954451,20,0.95,0,0,0.5494936123506701,0.628226249286595,0.5593033066038373,0.5766445555792217,0,0,,,,,0
