dataset,config,label_pct,diversity_measure,seed,inference_mode,training_mode,use_mmr,use_pseudo_label,unsup_drift,inference_relevance,global_acc,f1_score,drift_count,total_instances,elapsed_s,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
Electricity,config_0,5,disagreement,42,capymoa,capymoa,False,True,False,capymoa_sleade,0.784,0.514,-1,44312,26.3,0,0,,,,,0
Electricity,config_0,5,disagreement,43,capymoa,capymoa,False,True,False,capymoa_sleade,0.7917,0.5186,-1,44312,26.4,0,0,,,,,0
Electricity,config_0,1,disagreement,42,capymoa,capymoa,False,True,False,capymoa_sleade,0.7532,0.4868,-1,44312,24.1,0,0,,,,,0
Electricity,config_0,5,disagreement,44,capymoa,capymoa,False,True,False,capymoa_sleade,0.7817,0.5136,-1,44312,27.5,0,0,,,,,0
Electricity,config_0,1,disagreement,43,capymoa,capymoa,False,True,False,capymoa_sleade,0.7674,0.4993,-1,44312,25.0,0,0,,,,,0
Electricity,config_0,1,disagreement,44,capymoa,capymoa,False,True,False,capymoa_sleade,0.732,0.4801,-1,44312,25.9,0,0,,,,,0
Electricity,config_1,5,disagreement,42,margin,none,False,False,False,margin,0.7946,0.7825,0,44312,98.2,0,0,,,,,0
Electricity,config_1,5,disagreement,43,margin,none,False,False,False,margin,0.7922,0.7821,0,44312,103.7,0,0,,,,,0
Electricity,config_1,1,disagreement,42,margin,none,False,False,False,margin,0.7585,0.7344,0,44312,92.2,0,0,,,,,0
Electricity,config_1,5,disagreement,44,margin,none,False,False,False,margin,0.7908,0.7807,0,44312,121.1,0,0,,,,,0
Electricity,config_1,1,disagreement,43,margin,none,False,False,False,margin,0.7576,0.7323,0,44312,88.8,0,0,,,,,0
Electricity,config_1,1,disagreement,44,margin,none,False,False,False,margin,0.7594,0.7399,0,44312,102.1,0,0,,,,,0
Electricity,config_2,5,disagreement,42,mlhat_A,none,False,False,False,mlhat_A,0.794,0.522,0,44312,103.3,0,0,,,,,0
Electricity,config_2,5,disagreement,43,mlhat_A,none,False,False,False,mlhat_A,0.7918,0.5206,0,44312,104.6,0,0,,,,,0
Electricity,config_2,5,disagreement,44,mlhat_A,none,False,False,False,mlhat_A,0.8019,0.5288,0,44312,117.9,0,0,,,,,0
Electricity,config_2,1,disagreement,42,mlhat_A,none,False,False,False,mlhat_A,0.7517,0.4851,0,44312,88.9,0,0,,,,,0
Electricity,config_2,1,disagreement,43,mlhat_A,none,False,False,False,mlhat_A,0.7486,0.4821,0,44312,87.9,0,0,,,,,0
Electricity,config_2,1,disagreement,44,mlhat_A,none,False,False,False,mlhat_A,0.7517,0.4855,0,44312,103.5,0,0,,,,,0
Electricity,config_3,5,disagreement,42,sqrtAM,none,False,False,False,sqrtAM,0.797,0.7856,0,44312,103.9,0,0,,,,,0
Electricity,config_3,5,disagreement,43,sqrtAM,none,False,False,False,sqrtAM,0.7939,0.7836,0,44312,108.1,0,0,,,,,0
Electricity,config_3,1,disagreement,42,sqrtAM,none,False,False,False,sqrtAM,0.7567,0.7324,0,44312,90.1,0,0,,,,,0
Electricity,config_3,5,disagreement,44,sqrtAM,none,False,False,False,sqrtAM,0.7971,0.7877,0,44312,118.2,0,0,,,,,0
Electricity,config_3,1,disagreement,43,sqrtAM,none,False,False,False,sqrtAM,0.7564,0.7318,0,44312,89.4,0,0,,,,,0
Electricity,config_3,1,disagreement,44,sqrtAM,none,False,False,False,sqrtAM,0.7582,0.7366,0,44312,103.6,0,0,,,,,0
Electricity,config_4,5,disagreement,42,mmr,none,True,False,False,mmr,0.8057,0.7961,0,44312,109.3,0,0,,,,,0
Electricity,config_4,5,disagreement,43,mmr,none,True,False,False,mmr,0.8028,0.7944,0,44312,114.0,0,0,,,,,0
Electricity,config_4,1,disagreement,42,mmr,none,True,False,False,mmr,0.7575,0.7376,0,44312,95.9,0,0,,,,,0
Electricity,config_4,5,disagreement,44,mmr,none,True,False,False,mmr,0.8064,0.7986,0,44312,125.0,0,0,,,,,0
Electricity,config_4,1,disagreement,43,mmr,none,True,False,False,mmr,0.7617,0.7434,0,44312,96.5,0,0,,,,,0
Electricity,config_4,1,disagreement,44,mmr,none,True,False,False,mmr,0.7608,0.7447,0,44312,111.1,0,0,,,,,0
